      UTCTime       Week   GPSTime         Latitude        Longitude        H-Ell VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q
        (sec)    (weeks)     (sec)       (+/-D M S)       (+/-D M S)          (m)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)  
1621308916.00 2158.00000 185734.00   22 19 02.89382  114 10 06.43335        8.647   0.003  -0.003   0.002   0.207  -0.057  -0.058   2.0001039896   0.3588148192 168.2873473096 2
1621308917.00 2158.00000 185735.00   22 19 02.89381  114 10 06.43335        8.647  -0.001  -0.000   0.002   0.417   0.107   0.072   1.9988377528   0.3603503461 168.2876681660 2
1621308918.00 2158.00000 185736.00   22 19 02.89379  114 10 06.43335        8.647  -0.002  -0.004   0.000   0.288  -0.105   0.047   1.9993304965   0.3593820474 168.2890833717 2
1621308919.00 2158.00000 185737.00   22 19 02.89378  114 10 06.43335        8.647  -0.004  -0.002   0.001   0.042   0.130   0.059   1.9989924514   0.3617483631 168.2894901718 2
1621308920.00 2158.00000 185738.00   22 19 02.89377  114 10 06.43335        8.647  -0.002  -0.003  -0.001  -0.509  -0.150  -0.020   1.9992216345   0.3605222334 168.2920111861 2
1621308921.00 2158.00000 185739.00   22 19 02.89377  114 10 06.43335        8.647  -0.002  -0.003  -0.001  -0.440   0.124  -0.013   1.9980528006   0.3623958054 168.2910314282 2
1621308922.00 2158.00000 185740.00   22 19 02.89377  114 10 06.43335        8.647  -0.000  -0.007  -0.000  -0.389  -0.021  -0.085   1.9964313301   0.3627968759 168.2923721495 2
1621308923.00 2158.00000 185741.00   22 19 02.89377  114 10 06.43335        8.647   0.000  -0.004  -0.001  -0.335  -0.033   0.056   1.9981444739   0.3624989378 168.2934263918 2
1621308924.00 2158.00000 185742.00   22 19 02.89377  114 10 06.43335        8.647  -0.001  -0.003   0.001   0.028   0.014  -0.115   1.9961448512   0.3646589887 168.2938790285 3
1621308925.00 2158.00000 185743.00   22 19 02.89377  114 10 06.43335        8.647  -0.003  -0.000   0.000  -0.334   0.021  -0.020   1.9955031385   0.3623213209 168.2943889609 3
1621308926.00 2158.00000 185744.00   22 19 02.89377  114 10 06.43335        8.647   0.000   0.002  -0.002  -0.415  -0.017   0.045   1.9949817469   0.3645042901 168.2961536709 3
1621308927.00 2158.00000 185745.00   22 19 02.89377  114 10 06.43335        8.647   0.001   0.007  -0.000  -0.470  -0.011  -0.047   1.9992445529   0.3639657098 168.2969500823 3
1621308928.00 2158.00000 185746.00   22 19 02.89377  114 10 06.43335        8.647  -0.001   0.006   0.002  -0.204   0.019  -0.047   1.9950848793   0.3621035969 168.2979642176 3
1621308929.00 2158.00000 185747.00   22 19 02.89377  114 10 06.43335        8.647   0.001   0.005   0.003  -0.606   0.146   0.030   1.9966261357   0.3641662450 168.2993049388 3
1621308930.00 2158.00000 185748.00   22 19 02.89377  114 10 06.43335        8.647  -0.003   0.007   0.002   0.344   0.071   0.012   1.9954630314   0.3617426335 168.3004336657 3
1621308931.00 2158.00000 185749.00   22 19 02.89377  114 10 06.43335        8.647  -0.003   0.007  -0.000  -0.108  -0.193   0.125   1.9948442370   0.3586830389 168.3020207587 3
1621308932.00 2158.00000 185750.00   22 19 02.89377  114 10 06.43335        8.647  -0.000   0.002  -0.002  -0.264   0.051  -0.080   1.9943400341   0.3608316306 168.3022212940 3
1621308933.00 2158.00000 185751.00   22 19 02.89377  114 10 06.43335        8.647  -0.001   0.004  -0.000   0.456   0.066  -0.011   1.9936925918   0.3594393432 168.3036536885 4
1621308934.00 2158.00000 185752.00   22 19 02.89377  114 10 06.43335        8.647  -0.006   0.001  -0.002   0.139  -0.105   0.050   1.9939962595   0.3574454501 168.3043183195 4
1621308935.00 2158.00000 185753.00   22 19 02.89377  114 10 06.43335        8.647  -0.002   0.002  -0.002  -0.545   0.113   0.019   1.9951536342   0.3587403347 168.3050688942 4
1621308936.00 2158.00000 185754.00   22 19 02.89377  114 10 06.43335        8.647   0.002   0.001  -0.001  -0.176  -0.152  -0.069   1.9940134482   0.3576173374 168.3057736323 4
1621308937.00 2158.00000 185755.00   22 19 02.89377  114 10 06.43335        8.647   0.002  -0.001  -0.002   0.186   0.174  -0.090   1.9945348398   0.3598633320 168.3068966296 4
1621308938.00 2158.00000 185756.00   22 19 02.89377  114 10 06.43335        8.647   0.002  -0.002  -0.001   0.524  -0.155   0.079   1.9948442370   0.3568094669 168.3078935761 4
1621308939.00 2158.00000 185757.00   22 19 02.89377  114 10 06.43335        8.647   0.001  -0.002  -0.001   0.343   0.166   0.039   1.9958182652   0.3594106953 168.3090394917 4
1621308940.00 2158.00000 185758.00   22 19 02.89377  114 10 06.43335        8.647   0.002  -0.002  -0.001  -0.100  -0.189   0.089   1.9964026822   0.3580413262 168.3095494242 4
1621308941.00 2158.00000 185759.00   22 19 02.89377  114 10 06.43335        8.647   0.002  -0.004  -0.005  -0.398   0.157   0.070   1.9982991725   0.3622984026 168.3104661566 4
1621308942.00 2158.00000 185760.00   22 19 02.89377  114 10 06.43335        8.647   0.003  -0.004  -0.004  -0.147  -0.151  -0.110   1.9975485978   0.3622296477 168.3116865568 4
1621308943.00 2158.00000 185761.00   22 19 02.89377  114 10 06.43335        8.647   0.000  -0.007  -0.004   0.383  -0.120   0.144   1.9985799218   0.3628885491 168.3125402639 4
1621308944.00 2158.00000 185762.00   22 19 02.89377  114 10 06.43335        8.647   0.002  -0.005  -0.002   0.409   0.078  -0.056   1.9998175107   0.3662174339 168.3126090188 4
1621308945.00 2158.00000 185763.00   22 19 02.89377  114 10 06.43335        8.647   0.001  -0.002  -0.001  -0.196  -0.068  -0.174   2.0008201868   0.3671971917 168.3130731146 4
1621308946.00 2158.00000 185764.00   22 19 02.89377  114 10 06.43335        8.647  -0.002   0.000   0.002  -0.419  -0.001   0.089   2.0025104123   0.3683030003 168.3142705964 4
1621308947.00 2158.00000 185765.00   22 19 02.89377  114 10 06.43335        8.647   0.000   0.000   0.004   0.455   0.021   0.276   2.0024015503   0.3692999469 168.3150555486 4
1621308948.00 2158.00000 185766.00   22 19 02.89377  114 10 06.43335        8.647   0.000   0.002   0.003   0.462   0.015  -0.045   2.0018744291   0.3703599188 168.3158806078 4
1621308949.00 2158.00000 185767.00   22 19 02.89377  114 10 06.43335        8.647  -0.004  -0.002   0.003  -0.353  -0.160   0.140   2.0040975054   0.3692712990 168.3168546361 4
1621308950.00 2158.00000 185768.00   22 19 02.89377  114 10 06.43335        8.647   0.001  -0.001   0.005  -0.182  -0.054   0.095   2.0038339448   0.3714829161 168.3180578474 4
1621308951.00 2158.00000 185769.00   22 19 02.89377  114 10 06.43335        8.647  -0.003  -0.001   0.004  -0.414   0.017   0.085   2.0037365420   0.3727090457 168.3189573912 4
1621308952.00 2158.00000 185770.00   22 19 02.89377  114 10 06.43335        8.647  -0.005   0.001   0.004  -0.683  -0.040  -0.002   2.0051116407   0.3718152316 168.3201434138 4
1621308953.00 2158.00000 185771.00   22 19 02.89377  114 10 06.43335        8.647  -0.002   0.001   0.004   0.253  -0.067  -0.126   2.0016509756   0.3736143190 168.3207679378 4
1621308954.00 2158.00000 185772.00   22 19 02.89377  114 10 06.43335        8.647   0.002   0.002   0.003   0.331   0.076   0.078   1.9969870991   0.3719584710 168.3219940675 4
1621308955.00 2158.00000 185773.00   22 19 02.89377  114 10 06.43335        8.647   0.002   0.003   0.002  -0.589  -0.039  -0.013   1.9976574598   0.3683373778 168.3225383774 4
1621308956.00 2158.00000 185774.00   22 19 02.89377  114 10 06.43335        8.647  -0.000   0.002  -0.000   0.395   0.060  -0.084   2.0038912406   0.3779057729 168.3222576281 4
1621308957.00 2158.00000 185775.00   22 19 02.89377  114 10 06.43335        8.647   0.007   0.004  -0.001  -0.223  -0.023   0.077   2.0032151504   0.3732991923 168.3238848282 4
1621308958.00 2158.00000 185776.00   22 19 02.89377  114 10 06.43335        8.647  -0.001   0.003  -0.003   0.250   0.053  -0.093   2.0025734377   0.3713110287 168.3242286029 4
1621308959.00 2158.00000 185777.00   22 19 02.89377  114 10 06.43334        8.648   0.003   0.001  -0.006   0.229   0.036   0.031   2.0039542659   0.3721475471 168.3247557241 4
1621308960.00 2158.00000 185778.00   22 19 02.89529  114 10 06.43273        8.649  -0.007   0.005  -0.008   0.170  -0.017  -0.236   2.0012327164   0.3663664029 168.3259474763 3
1621308961.00 2158.00000 185779.00   22 19 02.90403  114 10 06.42122        8.647  -0.002   0.002  -0.009  -0.095   0.055   0.090   2.0042693927   0.3670826002 168.3268928566 3
1621308962.00 2158.00000 185780.00   22 19 02.90867  114 10 06.41721        8.643  -0.007   0.004  -0.009  -0.203  -0.110  -0.047   2.0024531165   0.3687384482 168.3275460285 3
1621308963.00 2158.00000 185781.00   22 19 02.91102  114 10 06.41557        8.639  -0.002   0.005  -0.013  -0.120   0.030  -0.077   2.0034844405   0.3707036934 168.3279184511 3
1621308964.00 2158.00000 185782.00   22 19 02.91242  114 10 06.41468        8.635  -0.005   0.005  -0.011   0.171  -0.047  -0.133   2.0010264516   0.3676211805 168.3283424399 3
1621308965.00 2158.00000 185783.00   22 19 02.91336  114 10 06.41411        8.631  -0.008   0.006  -0.012   0.039  -0.028   0.087   2.0020978827   0.3649225493 168.3300899611 3
1621308966.00 2158.00000 185784.00   22 19 02.91404  114 10 06.41378        8.616  -0.011   0.009  -0.012  -0.368   0.041   0.127   2.0037537307   0.3681826792 168.3295857583 2
1621308967.00 2158.00000 185785.00   22 19 02.91366  114 10 06.41392        8.595  -0.002   0.143  -0.001   0.595   0.329  -0.102   1.9828694191   0.4553639373 168.3398245141 2
1621308968.00 2158.00000 185786.00   22 19 02.89737  114 10 06.41735        8.582   0.021   1.279  -0.020  -0.086   2.028  -0.071   1.9646493612   0.7361648231 168.3392171788 2
1621308969.00 2158.00000 185787.00   22 19 02.82901  114 10 06.43084        8.564   0.036   2.784  -0.032  -0.135   0.733  -0.055   1.6603113692   0.4553238302 168.7074743425 2
1621308970.00 2158.00000 185788.00   22 19 02.72903  114 10 06.45188        8.506   0.058   3.497  -0.032   0.135  -0.039   0.044   1.3383090883   0.5123846970 167.5115452663 2
1621308971.00 2158.00000 185789.00   22 19 02.61076  114 10 06.47673        8.467   0.084   3.961  -0.043   1.383   0.519   0.474   1.7570896703   0.1956364391 168.0582558648 2
1621308972.00 2158.00000 185790.00   22 19 02.47913  114 10 06.48938        8.424   0.271   4.186  -0.007   1.352  -1.732   0.166   0.9259685519  -0.0202597876 179.1802089163 2
1621308973.00 2158.00000 185791.00   22 19 02.35028  114 10 06.45964        8.363   0.297   3.927  -0.044   0.811  -0.069   0.032   0.4778811786  -0.0650650872 -161.381796813 2
1621308974.00 2158.00000 185792.00   22 19 02.25575  114 10 06.39147        8.353   0.246   2.937  -0.013   0.855  -1.242  -0.322   0.1174849959   0.1828251028 -139.950866255 2
1621308975.00 2158.00000 185793.00   22 19 02.20896  114 10 06.32574        8.354   0.154   1.921  -0.005   0.150  -0.645   0.347   0.4615060448   0.0836231902 -125.065565977 2
1621308976.00 2158.00000 185794.00   22 19 02.18604  114 10 06.27178        8.376   0.134   1.608  -0.002   0.392  -0.302   0.570   0.3778542067   0.1658942000 -113.760232054 2
1621308977.00 2158.00000 185795.00   22 19 02.17430  114 10 06.22348        8.372   0.078   1.190  -0.006   0.207  -1.042   0.129   0.4147813366   0.1605370446 -105.357765881 2
1621308978.00 2158.00000 185796.00   22 19 02.17001  114 10 06.20071        8.377  -0.000   0.203   0.006   0.167  -0.833  -0.045   0.4275124588   0.2562152668 -103.510211905 2
1621308979.00 2158.00000 185797.00   22 19 02.16973  114 10 06.19989        8.384  -0.009  -0.019   0.004  -0.266  -0.041   0.057   0.4198921202   0.3510283228 -103.503852073 2
1621308980.00 2158.00000 185798.00   22 19 02.16981  114 10 06.20094        8.391  -0.007  -0.015   0.005   0.611   0.048  -0.053   0.4235762388   0.3571647008 -103.500569025 2
1621308981.00 2158.00000 185799.00   22 19 02.16986  114 10 06.20190        8.397  -0.007  -0.007   0.003   0.082   0.018  -0.037   0.4202072469   0.3560875401 -103.499480405 2
1621308982.00 2158.00000 185800.00   22 19 02.16993  114 10 06.20274        8.403   0.001  -0.006   0.003  -0.151   0.113  -0.006   0.4260113094   0.3588320079 -103.498976202 2
1621308983.00 2158.00000 185801.00   22 19 02.17000  114 10 06.20355        8.409   0.002  -0.005   0.002   0.440  -0.112  -0.060   0.4204650780   0.3553197767 -103.499440298 2
1621308984.00 2158.00000 185802.00   22 19 02.17010  114 10 06.20430        8.414   0.002   0.025  -0.004  -0.115   0.527   0.082   0.4260800643   0.3832629283 -103.494827988 2
1621308985.00 2158.00000 185803.00   22 19 02.16960  114 10 06.20175        8.421   0.000   0.078   0.004   0.146   0.143   0.115   0.4488952438   0.3977243831 -103.469554819 2
1621308986.00 2158.00000 185804.00   22 19 02.16916  114 10 06.19941        8.431   0.009   0.190   0.005  -0.116   0.373  -0.065   0.4207515569   0.4585152051 -103.308828699 2
1621308987.00 2158.00000 185805.00   22 19 02.16768  114 10 06.19028        8.445   0.022   0.320   0.006   0.280  -0.109   0.020   0.3931292616   0.5174897510 -102.561817785 3
1621308988.00 2158.00000 185806.00   22 19 02.16647  114 10 06.18184        8.459   0.002   0.128   0.009  -0.073  -0.277   0.058   0.3816013507   0.5325127044 -101.761624928 3
1621308989.00 2158.00000 185807.00   22 19 02.16650  114 10 06.18165        8.476   0.005   0.000   0.011   0.011   0.095   0.136   0.3443189870   0.5498733256 -101.742963693 3
1621308990.00 2158.00000 185808.00   22 19 02.16666  114 10 06.18224        8.494   0.002   0.002   0.012   0.484  -0.048  -0.028   0.3435856010   0.5472377197 -101.743662701 2
1621308991.00 2158.00000 185809.00   22 19 02.16681  114 10 06.18276        8.511   0.002  -0.002   0.010  -0.036  -0.046   0.012   0.3442559616   0.5456277083 -101.742820453 2
1621308992.00 2158.00000 185810.00   22 19 02.16695  114 10 06.18325        8.526   0.002   0.000   0.008  -0.455  -0.011   0.066   0.3440267785   0.5462694210 -101.742350628 2
1621308993.00 2158.00000 185811.00   22 19 02.16705  114 10 06.18369        8.541  -0.000  -0.003   0.008  -0.471   0.021   0.061   0.3462498548   0.5463897422 -101.741926639 3
1621308994.00 2158.00000 185812.00   22 19 02.16712  114 10 06.18406        8.550   0.001  -0.000   0.006  -0.300  -0.047   0.041   0.3454362547   0.5465960070 -101.742029771 3
1621308995.00 2158.00000 185813.00   22 19 02.16729  114 10 06.18420        8.513   0.000  -0.004   0.003  -0.433   0.164   0.043   0.3428522150   0.5480627789 -101.741009906 3
1621308996.00 2158.00000 185814.00   22 19 02.16731  114 10 06.18420        8.504  -0.002  -0.005   0.004  -0.539  -0.134   0.019   0.3432647446   0.5473637704 -101.740379653 3
1621308997.00 2158.00000 185815.00   22 19 02.16731  114 10 06.18420        8.504   0.002  -0.004   0.003  -0.438   0.070   0.059   0.3439694827   0.5496441424 -101.740711968 4
1621308998.00 2158.00000 185816.00   22 19 02.16731  114 10 06.18420        8.504  -0.002  -0.004   0.005  -0.505   0.063  -0.001   0.3425600066   0.5515291736 -101.740305168 4
1621308999.00 2158.00000 185817.00   22 19 02.16732  114 10 06.18420        8.504  -0.002  -0.001   0.007  -0.073  -0.029   0.093   0.3445424405   0.5507785989 -101.739468650 4
1621309000.00 2158.00000 185818.00   22 19 02.16732  114 10 06.18420        8.503  -0.002  -0.001   0.006  -0.141   0.074   0.061   0.3431788010   0.5525089314 -101.738889963 4
1621309001.00 2158.00000 185819.00   22 19 02.16732  114 10 06.18420        8.503  -0.001   0.000   0.006   0.066  -0.089  -0.008   0.3403483895   0.5502171002 -101.738540458 4
1621309002.00 2158.00000 185820.00   22 19 02.16732  114 10 06.18420        8.509   0.000   0.002   0.004   0.308  -0.008   0.056   0.3394889528   0.5525433089 -101.738683698 4
1621309003.00 2158.00000 185821.00   22 19 02.16732  114 10 06.18420        8.537   0.004  -0.006   0.000   0.290   0.215  -0.089   0.3457170040   0.5496613312 -101.732518672 4
1621309004.00 2158.00000 185822.00   22 19 02.16732  114 10 06.18420        8.567   0.001  -0.001   0.002   0.034  -0.126   0.019   0.3457341927   0.5543595851 -101.736529376 4
1621309005.00 2158.00000 185823.00   22 19 02.16732  114 10 06.18420        8.598   0.002   0.003  -0.001   0.116   0.069  -0.024   0.3543686667   0.5533970160 -101.735486593 4
1621309006.00 2158.00000 185824.00   22 19 02.16732  114 10 06.18420        8.632  -0.000   0.001   0.001  -0.003  -0.077   0.106   0.3503407734   0.5528584357 -101.736724182 5
1621309007.00 2158.00000 185825.00   22 19 02.16732  114 10 06.18420        8.667   0.000   0.002  -0.000  -0.171   0.037   0.066   0.3491490212   0.5526292526 -101.737079416 5
1621309008.00 2158.00000 185826.00   22 19 02.16732  114 10 06.18420        8.703  -0.002  -0.002  -0.001  -0.098   0.033   0.015   0.3507934101   0.5512426947 -101.736689805 5
1621309009.00 2158.00000 185827.00   22 19 02.16732  114 10 06.18420        8.742  -0.002   0.001  -0.003  -0.004  -0.160   0.069   0.3491776691   0.5499821875 -101.736185602 4
1621309010.00 2158.00000 185828.00   22 19 02.16732  114 10 06.18420        8.782   0.000   0.001  -0.004   0.290   0.108   0.026   0.3484958493   0.5517010609 -101.736391867 4
1621309011.00 2158.00000 185829.00   22 19 02.16732  114 10 06.18420        8.824  -0.001  -0.000  -0.004  -0.104  -0.054   0.088   0.3513377200   0.5487503283 -101.734747478 4
1621309012.00 2158.00000 185830.00   22 19 02.16732  114 10 06.18420        8.868   0.000   0.001  -0.005   0.218  -0.033   0.077   0.3480775901   0.5468652971 -101.735194385 3
1621309013.00 2158.00000 185831.00   22 19 02.16733  114 10 06.18420        8.915  -0.002   0.001  -0.006   0.094   0.083   0.015   0.3475447394   0.5472491789 -101.735182926 3
1621309014.00 2158.00000 185832.00   22 19 02.16733  114 10 06.18420        8.963  -0.001   0.005  -0.007   0.155  -0.118   0.067   0.3480260239   0.5448198378 -101.734598509 3
1621309015.00 2158.00000 185833.00   22 19 02.16733  114 10 06.18420        9.014   0.001   0.005  -0.009   0.327   0.169   0.018   0.3497391677   0.5444588744 -101.734466728 3
1621309016.00 2158.00000 185834.00   22 19 02.16733  114 10 06.18420        9.068   0.002   0.000  -0.012  -0.027  -0.124   0.034   0.3482208296   0.5402877417 -101.734770396 3
1621309017.00 2158.00000 185835.00   22 19 02.16733  114 10 06.18420        9.124   0.003   0.004  -0.012  -0.142   0.035   0.036   0.3485588747   0.5411586375 -101.734300571 2
1621309018.00 2158.00000 185836.00   22 19 02.16776  114 10 06.18416        9.087   0.003   0.003  -0.016  -0.054   0.075   0.074   0.3479114324   0.5392163106 -101.734054199 2
1621309019.00 2158.00000 185837.00   22 19 02.16870  114 10 06.18408        8.630   0.003   0.005  -0.016   0.244  -0.075   0.042   0.3527586553   0.5365119498 -101.733813557 2
1621309020.00 2158.00000 185838.00   22 19 02.16894  114 10 06.18407        8.252   0.008   0.009  -0.018   0.428   0.047   0.018   0.3489484860   0.5349649637 -101.733647399 2
1621309021.00 2158.00000 185839.00   22 19 02.16914  114 10 06.18385        7.957   0.007   0.010  -0.021   0.211  -0.062   0.002   0.3489312972   0.5336643495 -101.732799421 3
1621309022.00 2158.00000 185840.00   22 19 02.16892  114 10 06.18049        7.726   0.019   0.293  -0.023  -0.684   0.392  -0.031   0.3465306041   0.6005514425 -101.661122401 3
1621309023.00 2158.00000 185841.00   22 19 02.16630  114 10 06.16294        7.553   0.024   0.719  -0.031  -0.382   0.331  -0.113   0.2265761601   0.5377896457 -101.418663851 2
1621309024.00 2158.00000 185842.00   22 19 02.16154  114 10 06.13112        7.419   0.035   1.090  -0.028  -0.055   0.204  -0.068   0.1108386855   0.4649437916 -101.062713821 3
1621309025.00 2158.00000 185843.00   22 19 02.15512  114 10 06.08836        7.492   0.067   1.379  -0.039   0.140   0.384  -0.167  -0.0009052733   0.2361273665 -101.035166010 2
1621309026.00 2158.00000 185844.00   22 19 02.14723  114 10 06.03694        7.569   0.049   1.578  -0.034   0.594   0.088   0.034   0.0604069403   0.1335564620 -101.298377091 2
1621309027.00 2158.00000 185845.00   22 19 02.13810  114 10 05.97570        7.592   0.094   2.047  -0.034   0.093   0.638   0.314   0.4946287350  -0.0221047117 -101.188947882 2
1621309028.00 2158.00000 185846.00   22 19 02.12644  114 10 05.89716        7.600   0.087   2.362  -0.050  -0.022  -0.380  -0.325   0.8115546098   0.1809973675 -101.054933054 2
1621309029.00 2158.00000 185847.00   22 19 02.11365  114 10 05.81244        7.551   0.053   2.474  -0.050  -0.699  -0.494  -0.257   0.8873225486   0.5694398343 -101.114423262 2
1621309030.00 2158.00000 185848.00   22 19 02.10137  114 10 05.72984        7.456   0.088   2.245  -0.021  -0.021   0.163   0.398   0.9834476779  -0.2662477578 -100.909693982 2
1621309031.00 2158.00000 185849.00   22 19 02.09067  114 10 05.65483        7.300   0.092   2.113  -0.092   0.495   0.271   1.077   0.9378001303   0.4744090544 -100.661076136 2
1621309032.00 2158.00000 185850.00   22 19 02.08054  114 10 05.58100        7.129   0.089   2.236  -0.031   0.018   0.489  -0.264   0.8878955064   0.3015534172 -100.311709391 2
1621309033.00 2158.00000 185851.00   22 19 02.06883  114 10 05.49273        6.965   0.120   2.848  -0.055   0.083  -0.032   0.099   0.9908674813   0.2347809157 -100.001435556 2
1621309034.00 2158.00000 185852.00   22 19 02.05568  114 10 05.38917        7.021   0.120   3.006  -0.054  -0.373  -0.201  -0.459   1.1758411759   0.6390026402 -99.5388867284 2
1621309035.00 2158.00000 185853.00   22 19 02.04569  114 10 05.28052        7.055   0.186   3.100  -0.028   0.754   0.133   0.101   1.0000806427   0.1241255767 -95.3561573140 2
1621309036.00 2158.00000 185854.00   22 19 02.05328  114 10 05.17840        7.105   0.207   2.721  -0.065   1.446  -0.106  -0.391   0.4143344295   1.2322030342 -81.7200711871 2
1621309037.00 2158.00000 185855.00   22 19 02.09466  114 10 05.08277        7.313   0.349   3.311  -0.091   2.099   0.129   0.132   0.5375948400   1.0681709470 -58.7292573025 2
1621309038.00 2158.00000 185856.00   22 19 02.17957  114 10 05.00027        7.404   0.200   3.699  -0.056   2.007   0.046   0.220  -0.6006832228   0.8757086941 -34.5098385586 2
1621309039.00 2158.00000 185857.00   22 19 02.29163  114 10 04.94888        7.427   0.036   3.820  -0.050   1.522   0.333  -0.301  -0.5479023507   0.8198911457 -19.1773046144 3
1621309040.00 2158.00000 185858.00   22 19 02.41433  114 10 04.91539        7.443   0.207   4.016  -0.083  -0.969   0.115   1.707   0.7758249617   1.1743056490 -13.0504778350 3
1621309041.00 2158.00000 185859.00   22 19 02.54769  114 10 04.88206        7.512  -0.010   4.428  -0.085  -0.029   0.213   0.645  -0.1485507675   1.1018952429 -12.6001272785 2
1621309042.00 2158.00000 185860.00   22 19 02.69394  114 10 04.84674        7.790  -0.017   4.858  -0.087   0.300   0.683   0.052  -0.1584629374   1.0880411234 -12.5048845042 2
1621309043.00 2158.00000 185861.00   22 19 02.85507  114 10 04.80869        7.970  -0.033   5.276  -0.070   0.272  -0.459   0.537  -1.0780143620   0.9388486431 -11.9916862071 2
1621309044.00 2158.00000 185862.00   22 19 03.02472  114 10 04.77204        8.147  -0.020   5.254  -0.066  -0.218  -1.254  -0.323  -0.5688210398   0.7738654460 -11.3434532168 2
1621309045.00 2158.00000 185863.00   22 19 03.18774  114 10 04.73654        8.342  -0.022   4.943  -0.047   0.773  -0.730  -0.248  -0.4876100020   0.9637035523 -11.7032764417 2
1621309046.00 2158.00000 185864.00   22 19 03.34555  114 10 04.70095        8.550   0.064   4.936  -0.051   0.261  -0.216   1.070  -0.8548358416   0.9027007358 -11.5266736606 2
1621309047.00 2158.00000 185865.00   22 19 03.49825  114 10 04.66823        8.768  -0.051   4.528  -0.053  -0.036   0.098   0.457  -0.6714435105   0.7483630945 -11.1125340367 2
1621309048.00 2158.00000 185866.00   22 19 03.63446  114 10 04.63911        9.084  -0.014   4.056  -0.040   0.233  -0.811  -0.235  -0.2575903655   0.7142434578 -11.0411836024 2
1621309049.00 2158.00000 185867.00   22 19 03.75728  114 10 04.61310        9.165  -0.012   3.613  -0.005   0.228  -0.393  -0.192  -0.3912671487   0.5974402817 -10.0032762861 3
1621309050.00 2158.00000 185868.00   22 19 03.86493  114 10 04.59449        9.450  -0.060   3.149  -0.013  -0.004  -0.530  -0.067  -0.3007168988   0.6232634895  -7.8247303209 2
1621309051.00 2158.00000 185869.00   22 19 03.95805  114 10 04.57830        9.698  -0.056   2.669  -0.034  -0.344  -0.405   0.086  -0.4558624105   0.8448606464  -8.2417175450 2
1621309052.00 2158.00000 185870.00   22 19 04.03837  114 10 04.56213        9.956  -0.063   2.334  -0.007  -0.616  -0.633   0.219  -0.6386302176   0.5985460903  -9.3829463405 2
1621309053.00 2158.00000 185871.00   22 19 04.10800  114 10 04.54566       10.213  -0.082   2.074  -0.019  -0.253  -0.148  -0.053  -0.7179218469   0.6455687365 -10.9067447854 2
1621309054.00 2158.00000 185872.00   22 19 04.17066  114 10 04.52857       10.479  -0.093   1.882  -0.017   0.262  -0.256  -0.042  -0.3262135207   0.4925947348 -12.7620852584 2
1621309055.00 2158.00000 185873.00   22 19 04.22779  114 10 04.51159       10.748  -0.082   1.750  -0.020  -0.014  -0.192   0.088  -0.0419691585   0.4757497756 -13.2228464581 2
1621309056.00 2158.00000 185874.00   22 19 04.28196  114 10 04.49513       11.017  -0.092   1.711  -0.032  -0.018  -0.184  -0.259  -0.0391215583   0.6096041757 -13.4758130542 2
1621309057.00 2158.00000 185875.00   22 19 04.33487  114 10 04.47791       11.291  -0.110   1.671  -0.024   0.089   0.187   0.317  -0.1894484950   0.6129445197 -14.5199942584 2
1621309058.00 2158.00000 185876.00   22 19 04.38653  114 10 04.45926       11.574  -0.104   1.667  -0.026  -0.060   0.142  -0.113  -0.2960702111   0.6335194341 -16.4675064519 2
1621309059.00 2158.00000 185877.00   22 19 04.43640  114 10 04.43988       11.860  -0.084   1.648  -0.010   0.071   0.573   0.126   0.0582583486   1.3081600491 -17.8338331764 2
1621309060.00 2158.00000 185878.00   22 19 04.48645  114 10 04.42067       12.164  -0.015   1.611  -0.010  -0.416  -0.023   0.186   0.0330367465   1.1161389736 -17.1797445575 2
1621309061.00 2158.00000 185879.00   22 19 04.53537  114 10 04.40424       12.465  -0.034   1.543  -0.015   0.260  -0.997   0.418  -0.3374664118   0.8872366049 -14.3585404813 2
1621309062.00 2158.00000 185880.00   22 19 04.58242  114 10 04.38960       12.752  -0.036   1.527  -0.012   0.876   0.528  -0.128  -0.7443294717   1.2724934264 -13.4567049118 2
1621309063.00 2158.00000 185881.00   22 19 04.63279  114 10 04.37511       13.048  -0.064   1.818  -0.014   1.134   0.671   0.850  -0.6495336045   1.0246891800 -12.9483366489 2
1621309064.00 2158.00000 185882.00   22 19 04.70377  114 10 04.35712       13.342  -0.058   2.693  -0.027   0.176   1.182   0.770  -0.7786611027   1.1705355867 -11.8251732127 2
1621309065.00 2158.00000 185883.00   22 19 04.80053  114 10 04.33732       13.441   0.060   3.221  -0.026   0.820  -0.626  -0.515  -0.5449172406   1.0747771504 -10.1658988971 3
1621309066.00 2158.00000 185884.00   22 19 04.90434  114 10 04.31852       13.938   0.050   3.190  -0.024  -0.329   0.389  -0.775   0.8800402550   0.4192675962 -10.0049722412 2
1621309067.00 2158.00000 185885.00   22 19 04.99924  114 10 04.30006       14.229  -0.084   2.797  -0.003   0.207  -0.438   0.858   0.6014624454   0.6971979634  -9.7016942211 2
1621309068.00 2158.00000 185886.00   22 19 05.09507  114 10 04.28334       14.465  -0.014   3.316  -0.032  -0.426   2.155   0.144   0.7517550047   0.3944814419  -9.2992028292 2
